recommendation	placement	known_policy	clicks	cost_rub	conversions	cpa_rub	conversion_rate_pct	impressions	ad_network_types	campaigns	reason	raw_examples
ok	com.earthkwak.platformer		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		com.Earthkwak.Platformer
ok	com.easygames.race		0.00	0.00	0.00	0.00	0.00	4.00	AD_NETWORK	Портфолио		com.easygames.race
ok	com.edadeal.android		0.00	0.00	0.00	0.00	0.00	3.00	AD_NETWORK	Портфолио		com.edadeal.android
ok	com.emallstudio.tentacle		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.emallstudio.tentacle
ok	com.fc.p.bb.ice.cream.perfect.mukbang.asmr.diy		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.fc.p.bb.ice.cream.perfect.mukbang.asmr.diy
ok	com.fpl.sprunki.music		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.fpl.sprunki.music
ok	com.fungames.blockcraft		0.00	0.00	0.00	0.00	0.00	4.00	AD_NETWORK	Портфолио		com.fungames.blockcraft
ok	com.gamebrain.hexasort		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		com.gamebrain.hexasort
ok	com.gamejt.savetm.mi		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.gamejt.savetm.mi
ok	com.globalplay.birdsort		0.00	0.00	0.00	0.00	0.00	4.00	AD_NETWORK	Портфолио		com.globalplay.birdsort
ok	com.gown.happy.paint.by.number.coloring.game		0.00	0.00	0.00	0.00	0.00	4.00	AD_NETWORK	Портфолио		com.gown.happy.paint.by.number.coloring.game
ok	com.heytap.music		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.heytap.music
ok	com.hookah.playground.mod		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.hookah.playground.mod
ok	com.kiloo.subwaysurfers		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.kiloo.subwaysurfers
ok	com.mi.globalbrowser		0.00	0.00	0.00	0.00	0.00	3.00	AD_NETWORK	Портфолио		com.mi.globalbrowser
ok	com.miui.videoplayer		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.miui.videoplayer
ok	com.mountainsea.google.kr		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.mountainsea.google.kr
ok	com.mp.care.relaxing.asmr.makeover.games		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.mp.care.relaxing.asmr.makeover.games
ok	com.ms.tiltcore		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.ms.tiltcore
ok	com.nevosoft.mylittleplanet		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.nevosoft.mylittleplanet
ok	com.octopod.russianpost.client.android		0.00	0.00	0.00	0.00	0.00	4.00	AD_NETWORK	Портфолио		com.octopod.russianpost.client.android
ok	com.openmygame.android.sky.words		0.00	0.00	0.00	0.00	0.00	5.00	AD_NETWORK	Портфолио		com.openmygame.android.sky.words
ok	com.openmygame.games.android.jigsaw.solitaire.puzzle		0.00	0.00	0.00	0.00	0.00	28.00	AD_NETWORK	Портфолио		com.openmygame.games.android.jigsaw.solitaire.puzzle
ok	com.openmygame.games.android.sudokumaster		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.openmygame.games.android.sudokumaster
